,RA_TARG,Dec_TARG,Field,z_Spec,z_PRISM,NIRCam_ID,RA_NIRCam,Dec_NIRCam
186,189.10605424752143,62.24204893653358,GN,10.605964957948892,10.609332,1005591,189.10604738100093,62.242041417758735
213,189.10604264971155,62.24204477461731,GN,10.604422575780738,10.608815,1005591,189.10604738100093,62.242041417758735
1034,189.28608530060282,62.169879190690175,GN,11.167,11.167,1119489,189.28609171726183,62.16988136907904
1177,53.16633781098391,-27.821555207180825,GS,12.63,12.63,96216,53.16634465537238,-27.82155818294703
1713,53.149880055991396,-27.776499823123746,GS,13.2,13.2,128771,53.1498824882679,-27.776502245242426
2659,53.15884,-27.773492,GS,10.40945,10.40945,131067,53.158835324744594,-27.773495293798252
2660,53.1647676,-27.7746264,GS,11.66794,11.66794,130158,53.16476345549759,-27.774622135234935
2688,53.1659385,-27.8342421,GS,10.22557,10.22557,86029,53.165934532025354,-27.834237281407663
2689,53.1659385,-27.8342421,GS,10.56281,10.56281,86029,53.165934532025354,-27.834237281407663
2704,53.1663464,-27.8215573,GS,12.473683,12.473683,96216,53.16634465537238,-27.82155818294703
2708,53.1498813,-27.7765025,GS,13.35206,13.35206,128771,53.1498824882679,-27.776502245242426
2709,53.1647617,-27.7746259,GS,11.122,11.122,130158,53.16476345549759,-27.774622135234935
