,RA_TARG,Dec_TARG,Field,z_Spec,z_PRISM,NIRCam_ID,RA_NIRCam,Dec_NIRCam
186,189.1060542,62.24204894,GN,10.60596496,10.609332,1005591,189.1060474,62.24204142
213,189.1060426,62.24204477,GN,10.60442258,10.608815,1005591,189.1060474,62.24204142
1034,189.2860853,62.16987919,GN,11.167,11.167,1119489,189.2860917,62.16988137
1177,53.16633781,-27.82155521,GS,12.63,12.63,96216,53.16634466,-27.82155818
1713,53.14988006,-27.77649982,GS,13.2,13.2,128771,53.14988249,-27.77650225
2659,53.15884,-27.773492,GS,10.40945,10.40945,131067,53.15883532,-27.77349529
2660,53.1647676,-27.7746264,GS,11.66794,11.66794,130158,53.16476346,-27.77462214
2688,53.1659385,-27.8342421,GS,10.22557,10.22557,86029,53.16593453,-27.83423728
2689,53.1659385,-27.8342421,GS,10.56281,10.56281,86029,53.16593453,-27.83423728
2704,53.1663464,-27.8215573,GS,12.473683,12.473683,96216,53.16634466,-27.82155818
2708,53.1498813,-27.7765025,GS,13.35206,13.35206,128771,53.14988249,-27.77650225
2709,53.1647617,-27.7746259,GS,11.122,11.122,130158,53.16476346,-27.77462214
-99,-99,-99,GS,-99,14.32,183348,53.082937,-27.85563272
-99,-99,-99,GS,-99,13.9,18044,53.0742683,-27.88592113
-99,-99,-99,GS,-99,13.006,13731,53.06475,-27.89024
